满五年唯一 全南复试三房 看房方便 2000年住宅小区|1050|154|佳安公寓|4室2厅
薛家宅小区 3室1厅 475万|475|65|薛家宅小区|3室1厅
历史保护建筑+电梯老公寓+房型方正+地铁1/7号线常熟路|920|93|淮海大楼|2室1厅
急售，带车位，总、单价双低，五唯一，全明，产权干净|350|60|龙吴路13弄|2室1厅
业主急售，送产权车位，莎玛物业管理，高区南北通房主自荐|1580|126|永新城|3室2厅
爱邦大厦 2室1厅 445万|445|94|爱邦大厦|2室1厅
裕德大厦 2室1厅 860万|860|95|裕德大厦|2室1厅
臻园(公寓)(徐汇) 5室3厅 1180万|1180|186|臻园(公寓)(徐汇)|5室3厅
赠送6㎡天井，近中山医院和地铁，拎包入住，采光不挡|262|36|西木小区|1室1厅
上缝小区 双南双阳台 精装修 拎包住 近地铁 配套齐全|390|59|上缝小区|2室1厅
田林十四村 2室0厅 430万|430|59|田林十四村|2室0厅
徐家汇商圈  采光好 地铁1 4 9 号线|1000|185|华苑大厦|3室2厅
售后公房，满五年唯一，看房方便 。|370|71|罗秀新村|2室2厅
徐汇长春苑 2室1厅 720万|720|80|徐汇长春苑|2室1厅
月季园，高区景观房，户型正气，采光好，税费低|470|88|月季园(徐汇)|2室1厅
康平路吴兴路口，地段好，两房全明边套，看房提前约|665|56|康平路95号|2室1厅
双南户型带阳台+上的学+校好+房东诚意卖+税费少|410|46|零陵小区|2室0厅
（满五唯一）（价格可谈）（交通便利）（小区安静）|575|74|乐山一村|2室1厅
此房满五唯一，少税费，楼层位置好，户口没有用过|419|60|宛南三村|2室1厅
满五唯一，看房子随时方便，诚意出售，价格看中可谈。|890|141|桂梅别墅(公寓)|3室2厅
徐汇滨江+全明采光好+看房方便+精装修+满五唯一+地铁|890|119|金龙花苑梅花园|3室2厅
满五唯一，中间楼层，一梯两户，户型方正，近日月光|780|90|龙漕公寓|2室2厅
老业主委托：徐家汇物美价廉的大两房，诚售 看房方便|468|61|乐山大楼|2室1厅
满五唯一，好的楼层，处理多余房产，一梯两户，1994年新上|310|47|长春小区|1室1厅
复式三房赠送楼上面积！高得房率，品质小区，无个税|998|101|金星苑|3室2厅
在售业主诚意出售看价格，精装修，满五唯一税费低|830|122|铭源大楼|2室2厅
钥匙房随时看，南北通，采光好，业主诚意急售|460|83|桂林苑|2室2厅
